model,category,pair_slug,concat_variant,layer,negative,positive,positive_minus_negative
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,18,0.6125178287781248,0.6204153155589445,0.007897486780819696
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,19,0.6009241849500543,0.613840500732252,0.012916315782197763
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,20,0.5987033944064636,0.6175481312737982,0.018844736867334566
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,21,0.5889406287342555,0.6110035615300847,0.02206293279582927
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,22,0.5954416343533555,0.6128305723415522,0.01738893798819674
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,23,0.587040820857624,0.6068380482770328,0.019797227419408814
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,24,0.6157663380692558,0.6384651629588709,0.022698824889615055
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,25,0.6456568565020155,0.6643668962703267,0.018710039768311204
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,26,0.7388723175649428,0.761355331950466,0.022483014385523248
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,27,0.8016335282241546,0.8184452751414613,0.01681174691730669
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,0,0.9984888269111494,0.9974150905651517,-0.0010737363459977223
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,1,0.9976687143496822,0.9966140408350573,-0.0010546735146248487
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,2,0.9958999897836718,0.9947471455989217,-0.0011528441847500348
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,3,0.9826489800414396,0.9767895112575222,-0.00585946878391741
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,4,0.9360710576332552,0.923890631334426,-0.012180426298829206
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,5,0.8946843824791532,0.8712323211931006,-0.023452061286052595
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,6,0.8235374247067306,0.8002423781727246,-0.023295046534006048
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,7,0.7700759247877612,0.7494056812417926,-0.02067024354596858
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,8,0.70530487952027,0.6853023483145264,-0.02000253120574358
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,9,0.6723455337430322,0.6663798052592269,-0.005965728483805277
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,10,0.6244710555545658,0.6279352119855806,0.00346415643101472
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,11,0.6350075562667041,0.6401653196048622,0.0051577633381580945
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,12,0.5692161337427004,0.572923996715246,0.0037078629725455503
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,13,0.5658801859360526,0.5440303742249987,-0.021849811711053935
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,14,0.5736728012601968,0.5616963894964262,-0.011976411763770622
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,15,0.5513649907942035,0.5291889919272207,-0.02217599886698285
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,16,0.548551229757953,0.5239921345243623,-0.024559095233590678
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,17,0.573337469113451,0.5465323255601342,-0.026805143553316757
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,18,0.5481945283132802,0.5219677024072307,-0.026226825906049522
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,19,0.5310528914975943,0.5046641140555583,-0.026388777442035938
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,20,0.5203265305859185,0.49975591559073657,-0.020570614995181924
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,21,0.5124364460000213,0.49572179300065145,-0.016714652999369806
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,22,0.5152166744397935,0.4988800293897929,-0.016336645050000542
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,23,0.4971020359109022,0.4851402814683782,-0.011961754442524009
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,24,0.542616887139713,0.5327569939417814,-0.009859893197931568
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,25,0.5820807364794409,0.5749310286977197,-0.007149707781721193
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,26,0.7054784966815295,0.708364777647209,0.002886280965679444
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,27,0.7829057287527951,0.7966731315651917,0.013767402812396634
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,0,0.9984918542071157,0.9973975586266743,-0.0010942955804413845
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,1,0.9976699701571262,0.9965985975735647,-0.0010713725835614918
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,2,0.9958181738781444,0.9947900891867012,-0.0010280846914432207
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,3,0.9824727476519055,0.9776509669355206,-0.004821780716384949
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,4,0.9362466297679862,0.92703163341749,-0.009214996350496274
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,5,0.8951518844580874,0.876851635362706,-0.018300249095381305
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,6,0.8247908350762478,0.8071334211776616,-0.017657413898586216
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,7,0.7714061349385145,0.7568742011974686,-0.014531933741045888
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,8,0.7077021303788094,0.6929323301507994,-0.01476980022801
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,9,0.6761098741005259,0.6743782043972757,-0.001731669703250227
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,10,0.6252138526247107,0.6338194422224485,0.008605589597737717
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,11,0.6372914431045635,0.648200909593768,0.010909466489204434
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,12,0.5569047969465921,0.5923532354834096,0.03544843853681745
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,13,0.5240717473225895,0.6002131662104407,0.0761414188878512
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,14,0.5386577624911362,0.6133839225683745,0.07472616007723831
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,15,0.515243408375256,0.5858505795876205,0.0706071712123646
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,16,0.509740618126677,0.5815731916538823,0.07183257352720529
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,17,0.5341535259113223,0.6034855411750456,0.06933201526372335
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,18,0.5071675619433362,0.5760191905456885,0.06885162860235228
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,19,0.49045998322041007,0.5577574835777879,0.0672975003573778
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,20,0.47983854654983,0.5497082086864817,0.06986966213665174
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,21,0.474243745563784,0.5468018969789699,0.07255815141518585
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,22,0.48175086689321694,0.549306165698696,0.067555298805479
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,23,0.4623555868393928,0.5349488828794767,0.07259329604008391
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,24,0.5084621501799219,0.5725483946137149,0.06408624443379296
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,25,0.5530403882735558,0.6106626480576,0.057622259784044116
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,26,0.6865473729742626,0.7302535147815423,0.04370614180727972
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,27,0.7712629087299822,0.8133120514134453,0.04204914268346316
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,0,0.998427507107193,0.9975418238849122,-0.0008856832222807753
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,1,0.9975951605282745,0.9967204207221085,-0.0008747398061659251
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,2,0.9957711218871388,0.9947493597243324,-0.0010217621628063611
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,3,0.9820242409890128,0.9769935323682444,-0.005030708620768376
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,4,0.9361822797415811,0.9270351853117553,-0.009147094429825753
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,5,0.8974417865137306,0.8791191010871097,-0.018322685426620966
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,6,0.8330723137757283,0.8168890641874406,-0.016183249588287762
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,7,0.7827005417365853,0.7692276011056921,-0.013472940630893215
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,8,0.7201309905316421,0.7065012388462716,-0.013629751685370506
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,9,0.6884382666087157,0.6874239709336217,-0.0010142956750939236
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,10,0.6457750690974402,0.6545832261410652,0.008808157043625031
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,11,0.6460352826714464,0.6552918975128093,0.009256614841362865
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,12,0.5850394513847385,0.5934236790941805,0.008384227709442027
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,13,0.5867383914195162,0.5825637532003911,-0.004174638219125115
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,14,0.5931186375951119,0.6065359131763062,0.013417275581194321
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,15,0.5755562752270568,0.5838667322371023,0.008310457010045513
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,16,0.5770737761045482,0.5822388327927905,0.005165056688242298
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,17,0.596316044235091,0.6029708813175495,0.006654837082458509
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,18,0.5707247382015526,0.5839636605647233,0.013238922363170702
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,19,0.5607208820840138,0.5730193381910412,0.0122984561070274
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,20,0.5501813900794092,0.5676118406424853,0.017430450563076016
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,21,0.5427639435998077,0.5649360600964602,0.022172116496652516
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,22,0.5441891858617319,0.5660181276213736,0.021828941759641673
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,23,0.5321601246218265,0.5560039529008277,0.023843828279001222
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,24,0.5694108616676854,0.5929388662831124,0.023528004615427034
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,25,0.6207566259565007,0.6453827086274042,0.024626082670903493
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,26,0.7406900540656798,0.7665588291641073,0.025868775098427554
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,27,0.8068063486472558,0.8305579555655125,0.02375160691825673
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,0,0.9984273140573151,0.9975338049962662,-0.0008935090610489027
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,1,0.9975932046027512,0.9967129567854955,-0.0008802478172557082
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,2,0.9957055833944708,0.9947759251375591,-0.000929658256911714
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,3,0.981938259904714,0.9774409447487584,-0.004497315155955528
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,4,0.9361918923294995,0.9288798786272219,-0.007312013702277631
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,5,0.8972265562566132,0.8829198658334502,-0.014306690423163015
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,6,0.8344215578401014,0.8240009673192875,-0.0104205905208139
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,7,0.7841795810025574,0.7781972702699256,-0.005982310732631779
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,8,0.7211907376481301,0.7178291785073836,-0.0033615591407465395
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,9,0.6909065776591602,0.7001866091389288,0.009280031479768636
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,10,0.6476110513045887,0.6661087068335312,0.018497655528942447
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,11,0.6487804264372258,0.666202190546557,0.017421764109331273
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,12,0.5866055339709034,0.6190934814245977,0.03248794745369432
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,13,0.5597130728279776,0.6246192646942189,0.06490619186624136
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,14,0.5703824043333336,0.6479793972623119,0.07759699292897826
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,15,0.5510997965164629,0.6353916419083059,0.08429184539184298
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,16,0.5479528905151642,0.6353956668105085,0.08744277629534436
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,17,0.5722133314378807,0.6547956248827472,0.08258229344486656
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,18,0.5462034283562239,0.6386992519610901,0.09249582360486619
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,19,0.5349240109194393,0.6281333565225473,0.09320934560310801
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,20,0.5140297687031314,0.626980812299436,0.11295104359630459
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,21,0.508536953670271,0.6272339083666644,0.11869695469639341
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,22,0.511539179303329,0.6279083879937707,0.11636920869044165
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,23,0.49247985504333114,0.6206919366967923,0.1282120816534612
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,24,0.5306846255911181,0.6487353462786934,0.11805072068757538
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,25,0.593129270108067,0.6936776620357289,0.10054839192766185
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,26,0.7266901452088542,0.7956058073393675,0.06891566213051326
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,27,0.7960201861681275,0.8490175417522745,0.05299735558414698
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,0,0.9982574898259905,0.9975570235404432,-0.0007004662855473187
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,1,0.9975498509376776,0.9967369530513304,-0.000812897886347197
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,2,0.9958292332429421,0.9949209743054352,-0.0009082589375069006
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,3,0.9831359226954192,0.9779435997542953,-0.005192322941123817
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,4,0.9369879403097019,0.9308287564079335,-0.006159183901768395
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,5,0.8981061106879662,0.8861655053584476,-0.011940605329518572
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,6,0.8317574197361298,0.8227540666063818,-0.009003353129747982
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,7,0.7800848770073494,0.7696220813982171,-0.010462795609132325
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,8,0.7225441049558183,0.7055055045751355,-0.017038600380682833
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,9,0.6979822350542648,0.6860638940708764,-0.011918340983388398
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,10,0.6607365956821843,0.6553693360628438,-0.005367259619340592
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,11,0.6737020374083241,0.668258211986489,-0.00544382542183508
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,12,0.6229481277360369,0.6115819191133671,-0.011366208622669793
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,13,0.6153562875563128,0.6024603581170734,-0.01289592943923934
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,14,0.6340438584088935,0.6104337535790607,-0.023610104829832834
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,15,0.6124606195350374,0.5746882009534735,-0.03777241858156388
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,16,0.61001326019564,0.5693328917409023,-0.04068036845473766
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,17,0.6348929758964196,0.5905585047914841,-0.04433447110493549
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,18,0.6131906004915291,0.5625258702191015,-0.05066473027242757
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,19,0.6073206513025984,0.5473266870458293,-0.05999396425676906
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,20,0.6035182444263887,0.5357802894249599,-0.06773795500142876
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,21,0.592620229192705,0.5316726255743794,-0.06094760361832552
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,22,0.5958787495005178,0.5402852884819971,-0.055593461018520696
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,23,0.5830587279851434,0.5214128013236808,-0.06164592666146251
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,24,0.6171787214358838,0.5658526697946629,-0.05132605164122095
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,25,0.6451298147089903,0.5995001555163466,-0.04562965919264372
