model,category,pair_slug,statement_index,centered,concat_variant,reference_variant,layer,cosine
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,32,0.4650338876404113
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,32,0.6424944423914715
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,32,0.37251283962639103
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,33,0.5788527823012418
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,33,0.38422064650441573
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,33,0.5773028517860023
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,33,0.35110419946483284
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,34,0.5612714340148754
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,34,0.3589641269310433
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,34,0.5649264482964248
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,34,0.3301074886619023
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,35,0.5907817407585224
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,35,0.3943071608844211
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,35,0.5825836240416524
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,35,0.35603905402906566
